J-Date,Date,Weekday,Symbol,Open
1389-05-27,8/18/2010,Wednesday,سکه امامی,3040000
1389-05-29,8/20/2010,Friday,سکه امامی,3040000
1389-05-30,8/21/2010,Saturday,سکه امامی,3040000
1389-05-31,8/22/2010,Sunday,سکه امامی,3040000
1389-06-01,8/23/2010,Monday,سکه امامی,3040000
1389-06-02,8/24/2010,Tuesday,سکه امامی,3030000
1389-06-03,8/25/2010,Wednesday,سکه امامی,3050000
1389-06-05,8/27/2010,Friday,سکه امامی,3060000
1389-06-06,8/28/2010,Saturday,سکه امامی,3060000
1389-06-07,8/29/2010,Sunday,سکه امامی,3070000
1389-06-08,8/30/2010,Monday,سکه امامی,3080000
1389-06-12,9/3/2010,Friday,سکه امامی,3080000
1389-06-13,9/4/2010,Saturday,سکه امامی,3125000
1389-06-14,9/5/2010,Sunday,سکه امامی,3120000
1389-06-15,9/6/2010,Monday,سکه امامی,3120000
1389-06-16,9/7/2010,Tuesday,سکه امامی,3125000
1389-06-17,9/8/2010,Wednesday,سکه امامی,3140000
1389-06-20,9/11/2010,Saturday,سکه امامی,3140000
1389-06-21,9/12/2010,Sunday,سکه امامی,3130000
1389-06-22,9/13/2010,Monday,سکه امامی,3125000
1389-06-23,9/14/2010,Tuesday,سکه امامی,3130000
1389-06-24,9/15/2010,Wednesday,سکه امامی,3160000
1389-06-26,9/17/2010,Friday,سکه امامی,3160000
1389-06-27,9/18/2010,Saturday,سکه امامی,3170000
1389-06-28,9/19/2010,Sunday,سکه امامی,3210000
1389-06-29,9/20/2010,Monday,سکه امامی,3250000
1389-06-30,9/21/2010,Tuesday,سکه امامی,3220000
1389-06-31,9/22/2010,Wednesday,سکه امامی,3260000
1389-07-02,9/24/2010,Friday,سکه امامی,3270000
1389-07-03,9/25/2010,Saturday,سکه امامی,3300000
1389-07-04,9/26/2010,Sunday,سکه امامی,3350000
1389-07-05,9/27/2010,Monday,سکه امامی,3360000
1389-07-06,9/28/2010,Tuesday,سکه امامی,3370000
1389-07-07,9/29/2010,Wednesday,سکه امامی,3600000
1389-07-09,10/1/2010,Friday,سکه امامی,3480000
1389-07-10,10/2/2010,Saturday,سکه امامی,3500000
1389-07-12,10/4/2010,Monday,سکه امامی,3420000
1389-07-13,10/5/2010,Tuesday,سکه امامی,3390000
1389-07-14,10/6/2010,Wednesday,سکه امامی,3480000
1389-07-16,10/8/2010,Friday,سکه امامی,3480000
1389-07-17,10/9/2010,Saturday,سکه امامی,3470000
1389-07-18,10/10/2010,Sunday,سکه امامی,3430000
1389-07-19,10/11/2010,Monday,سکه امامی,3450000
1389-07-20,10/12/2010,Tuesday,سکه امامی,3450000
1389-07-21,10/13/2010,Wednesday,سکه امامی,3450000
1389-07-23,10/15/2010,Friday,سکه امامی,3520000
1389-07-24,10/16/2010,Saturday,سکه امامی,3450000
1389-07-25,10/17/2010,Sunday,سکه امامی,3460000
1389-07-26,10/18/2010,Monday,سکه امامی,3450000
1389-07-27,10/19/2010,Tuesday,سکه امامی,3460000
1389-07-30,10/22/2010,Friday,سکه امامی,3420000
1389-08-01,10/23/2010,Saturday,سکه امامی,3350000
1389-08-02,10/24/2010,Sunday,سکه امامی,3350000
1389-08-03,10/25/2010,Monday,سکه امامی,3360000
1389-08-04,10/26/2010,Tuesday,سکه امامی,3360000
1389-08-05,10/27/2010,Wednesday,سکه امامی,3350000
1389-08-07,10/29/2010,Friday,سکه امامی,3340000
1389-08-08,10/30/2010,Saturday,سکه امامی,3420000
1389-08-09,10/31/2010,Sunday,سکه امامی,3400000
